,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
14,Portsmouth,Luton,0.0,0.0,D,0.0,0.0,D,J Busby,0.4482758620689655,0.3214285714285714,0.5,0.4,0.38888888888888884,0.4444444444444444,0.3125,0.26666666666666666,0.5,0.2857142857142857,0.0,0.5
15,West Brom,Leeds,0.0,0.0,D,0.0,0.0,D,S Allison,0.20689655172413793,0.2857142857142857,0.08333333333333333,0.1,0.5555555555555555,0.38888888888888884,0.3125,0.26666666666666666,0.3333333333333333,0.2857142857142857,0.0,0.0
16,Bristol City,Millwall,0.6666666666666666,0.5,H,0.6666666666666666,0.0,H,S Gill,0.31034482758620685,0.5357142857142857,0.5,0.4,0.38888888888888884,0.4444444444444444,0.3125,0.26666666666666666,0.16666666666666666,0.2857142857142857,0.0,0.0
17,Burnley,Cardiff,0.8333333333333333,0.0,H,0.6666666666666666,0.0,H,M Salisbury,0.2413793103448276,0.39285714285714285,0.3333333333333333,0.4,0.8333333333333334,0.1111111111111111,0.125,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.0,0.0
18,Norwich,Blackburn,0.3333333333333333,0.3333333333333333,D,0.0,0.3333333333333333,A,J Bell,0.4137931034482758,0.25,0.3333333333333333,0.30000000000000004,0.4444444444444444,0.4444444444444444,0.375,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.0,0.0
19,Plymouth,Hull,0.16666666666666666,0.16666666666666666,D,0.0,0.0,D,L Doughty,0.48275862068965514,0.5,0.5833333333333333,0.2,0.5,0.6666666666666666,0.375,0.2,0.5,0.14285714285714285,0.0,0.0
20,Sheffield United,QPR,0.3333333333333333,0.3333333333333333,D,0.6666666666666666,0.0,H,A Backhouse,0.4137931034482758,0.5,0.25,0.30000000000000004,0.611111111111111,0.2777777777777778,0.25,0.6,0.3333333333333333,0.2857142857142857,0.0,0.5
21,Swansea,Preston,0.5,0.0,H,0.3333333333333333,0.0,H,S Martin,0.3448275862068966,0.17857142857142855,0.5,0.2,0.38888888888888884,0.9444444444444443,0.3125,0.2,0.16666666666666666,0.42857142857142855,0.0,0.0
22,Watford,Stoke,0.5,0.0,H,0.0,0.0,D,T Nield,0.7586206896551724,0.25,0.6666666666666666,0.30000000000000004,0.4444444444444444,0.611111111111111,0.125,0.26666666666666666,0.3333333333333333,0.2857142857142857,0.0,0.0
23,Sunderland,Sheffield Weds,0.6666666666666666,0.0,H,1.0,0.0,H,D Whitestone,0.4482758620689655,0.3214285714285714,0.5,0.30000000000000004,0.2777777777777778,0.33333333333333337,0.3125,0.5333333333333333,0.0,0.42857142857142855,0.0,0.0
24,Sheffield Weds,Leeds,0.0,0.3333333333333333,A,0.0,0.3333333333333333,A,S Hooper,0.20689655172413793,0.46428571428571425,0.16666666666666666,0.5,0.5555555555555555,0.33333333333333337,0.1875,0.13333333333333333,0.3333333333333333,0.42857142857142855,0.0,0.0
25,Bristol City,Coventry,0.16666666666666666,0.16666666666666666,D,0.3333333333333333,0.0,H,A Kitchen,0.3448275862068966,0.2857142857142857,0.5833333333333333,0.1,0.2222222222222222,0.6666666666666666,0.5,0.13333333333333333,0.3333333333333333,0.5714285714285714,0.0,0.0
