HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Middlesbrough,Coventry,0,3,A,0,1,A,T Bramall,9,10,1,4,4,12,6,8,1,3,1,0
Preston,Bristol City,1,3,A,0,1,A,G Eltringham,14,5,2,3,11,20,4,1,4,3,0,0
QPR,Sunderland,0,0,D,0,0,D,B Toner,17,8,3,1,12,10,6,6,1,2,0,1
Sheffield Weds,Watford,2,6,A,1,1,D,S Allison,14,16,6,8,14,16,6,2,3,3,0,0
Millwall,Burnley,1,0,H,0,0,D,G Ward,12,8,3,0,17,12,2,3,2,2,0,0
Bristol City,Sheffield United,1,2,A,0,0,D,J Busby,12,11,2,4,8,12,2,5,0,2,1,0
Oxford,Hull,1,0,H,0,0,D,W Finnie,4,12,2,2,8,10,2,6,2,1,0,0
QPR,Middlesbrough,1,4,A,0,2,A,O Langford,7,12,5,8,8,11,8,5,0,2,0,0
Sheffield Weds,Norwich,2,0,H,2,0,H,S Martin,12,5,5,3,6,16,2,5,0,0,0,0
Plymouth,Portsmouth,1,0,H,0,0,D,J Bell,10,14,4,4,8,21,5,6,4,2,0,0
Swansea,Watford,1,0,H,1,0,H,J Smith,12,7,3,0,9,10,6,8,3,2,0,0
Blackburn,Stoke,0,2,A,0,0,D,A Davies,25,15,8,7,8,8,9,4,1,2,0,0
Coventry,Derby,1,2,A,0,1,A,J Linington,11,3,3,1,5,11,9,6,0,2,0,0
Millwall,Leeds,1,0,H,1,0,H,L Doughty,6,14,3,4,11,14,2,12,2,1,0,0
Luton,Cardiff,1,0,H,0,0,D,M Donohue,8,10,3,3,12,13,6,6,2,1,0,0
Preston,Sunderland,0,0,D,0,0,D,L Smith,14,10,2,2,20,11,4,4,2,1,0,0
West Brom,Burnley,0,0,D,0,0,D,T Nield,11,12,1,4,6,20,2,8,3,3,0,0
Watford,Oxford,1,0,H,0,0,D,A Backhouse,16,10,8,3,12,8,11,4,5,2,0,0
Cardiff,Blackburn,1,3,A,0,1,A,G Ward,20,10,8,7,11,6,12,1,0,3,0,0
Middlesbrough,Luton,5,1,H,2,0,H,T Harrington,11,5,6,3,6,15,1,1,1,4,0,0
Stoke,Millwall,1,1,D,0,1,A,J Bell,8,7,3,1,13,8,9,2,2,2,0,0
Derby,Plymouth,1,1,D,1,1,D,S Hooper,20,5,4,2,7,11,8,3,1,4,0,0
Leeds,QPR,2,0,H,1,0,H,M Donohue,21,5,6,0,12,13,7,1,1,2,0,0
Norwich,Bristol City,0,2,A,0,1,A,F Hallam,9,9,3,2,16,8,3,3,2,0,0,0
Portsmouth,Preston,3,1,H,2,0,H,J Busby,18,6,6,1,12,13,11,5,1,0,0,0
Sunderland,Coventry,2,2,D,2,0,H,L Doughty,9,8,5,3,10,16,2,7,3,4,0,0
Sheffield United,Sheffield Weds,1,0,H,0,0,D,L Smith,8,10,1,0,15,22,5,6,1,3,0,0
Hull,West Brom,1,2,A,1,2,A,A Kitchen,13,5,3,3,16,10,4,3,1,2,0,0
Burnley,Swansea,1,0,H,0,0,D,D Webb,2,9,7,4,13,12,5,1,1,3,0,0
